YEAR,EXP,TYPE,POS,SALARY,SIZE
2022,EN,FT,Cyber Program Manager,63000,S
2021,EN,FT,Security Specialist,50000,S
2022,EN,FT,Security Specialist,50000,S
2022,EN,FT,Security Incident Response Engineer,112000,L
2022,EN,FT,Cyber Security Analyst,72000,L
2020,EN,FT,Cyber Security Analyst,450000,L
2022,EN,FT,Information Security Analyst,52000,L
2021,EN,FT,Cyber Security Architect,150000,M
2022,EN,FT,SOC Analyst,104000,L
2021,EN,FT,SOC Analyst,75000,M
2022,EN,FT,SOC Analyst,85000,L
2022,EN,FT,Cyber Security Analyst,50000,S
2022,EN,FT,Cloud Security Engineer,500000,L
2022,EN,FT,Application Security Analyst,50000,M
2022,EN,FT,Data Security Analyst,50000,L
2022,EN,FT,Data Security Analyst,50000,L
2021,EN,FT,Cyber Security Analyst,12000,M
2022,EN,FT,IT Security Analyst,70000,L
