CONNECTION,TOTAL,ipV4,ipV6,TCP,UDP,ARP,ICMP,IGMP,CAST,INTERNAL,DOMESTIC,FOREIGN,HOSTILE
192.168.1.5-->>151.139.128.14,12,12,0,12,0,0,0,0,0,11,12,0,0
151.139.128.14-->>192.168.1.5,13,13,0,13,0,0,0,0,0,12,13,0,0
192.168.1.3-->>52.109.88.35,3,3,0,3,0,0,0,0,0,2,0,3,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2606:4700::6810:5e60,5,0,5,5,0,0,0,0,0,0,5,0,0
2606:4700::6810:5e60-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,3,0,3,3,0,0,0,0,0,0,3,0,0
79.137.112.24-->>192.168.1.5,4,4,0,4,0,0,0,0,0,3,0,4,0
192.168.1.5-->>79.137.112.24,6,6,0,6,0,0,0,0,0,5,0,6,0
192.168.1.5-->>108.166.24.219,42,42,0,42,0,0,0,0,0,41,42,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2a03:2880:f003:c0e:face:b00c:0:3,9,0,9,9,0,0,0,0,0,0,9,0,0
192.168.1.5-->>104.244.42.136,3,3,0,3,0,0,0,0,0,2,3,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2600:9000:208f:d400:6:44e3:f8c0:93a1,6,0,6,6,0,0,0,0,0,0,6,0,0
104.244.42.136-->>192.168.1.5,4,4,0,4,0,0,0,0,0,3,4,0,0
2a03:2880:f003:c0e:face:b00c:0:3-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,14,0,14,14,0,0,0,0,0,0,14,0,0
2600:9000:208f:d400:6:44e3:f8c0:93a1-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,4,0,4,4,0,0,0,0,0,0,4,0,0
108.166.24.219-->>192.168.1.5,8,8,0,8,0,0,0,0,0,7,8,0,0
192.168.1.5-->>13.225.198.110,4,4,0,4,0,0,0,0,0,3,4,0,0
192.168.1.5-->>23.62.230.145,7,7,0,7,0,0,0,0,0,6,7,0,0
13.225.198.110-->>192.168.1.5,3,3,0,3,0,0,0,0,0,2,3,0,0
23.62.230.145-->>192.168.1.5,5,5,0,5,0,0,0,0,0,4,5,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2620:116:800b:21:f803:c51b:4d23:ce8c,6,0,6,6,0,0,0,0,0,0,6,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:815::2001,10,0,10,10,0,0,0,0,0,0,10,0,0
2620:116:800b:21:f803:c51b:4d23:ce8c-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,2,0,2,2,0,0,0,0,0,0,2,0,0
2607:f8b0:4004:815::2001-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,9,0,9,9,0,0,0,0,0,0,9,0,0
192.168.1.5-->>72.21.91.29,23,23,0,23,0,0,0,0,0,22,23,0,0
72.21.91.29-->>192.168.1.5,23,23,0,23,0,0,0,0,0,22,23,0,0
192.168.1.3-->>239.255.255.250,23,23,0,0,23,0,0,0,0,22,0,0,0
192.168.1.3-->>192.168.1.1,28,28,0,27,1,0,0,0,0,27,0,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2600:1408:5400:13::17cf:ca91,6,0,6,6,0,0,0,0,0,0,6,0,0
2600:1408:5400:13::17cf:ca91-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,7,0,7,7,0,0,0,0,0,0,7,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2606:2800:220:131d:1d30:1f1d:238b:1e56,4,0,4,4,0,0,0,0,0,0,4,0,0
192.168.1.5-->>104.127.64.214,3,3,0,3,0,0,0,0,0,2,3,0,0
192.168.1.5-->>52.85.134.19,7,7,0,7,0,0,0,0,0,6,7,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2600:1408:5400:29c::268b,3,0,3,3,0,0,0,0,0,0,3,0,0
